0	26	5	40	76	37	59	77	77	1
1	48	5	50	84	37	66	84	77	1
0	29	15	38	76	51	45	77	77	1
0	27	31	46	84	54	58	84	84	1
1	51	9	64	96	38	54	96	82	1
0	13	34	45	79	59	70	84	68	1
0	10	40	26	66	58	62	77	67	1
0	40	7	28	59	48	53	60	48	2
4	44	26	56	77	55	63	77	74	2
44	31	35	65	77	56	47	77	77	2
4	36	38	51	90	59	79	90	35	2
22	18	31	44	51	45	43	54	54	2
2	39	20	49	63	44	58	63	50	2
5	38	44	52	90	65	81	89	31	2
22	28	34	48	62	39	52	63	63	2
2	31	9	34	48	39	46	48	48	2
21	5	29	21	40	44	26	48	48	2
20	3	28	24	45	49	20	54	54	2
21	6	30	21	46	50	19	54	54	2
34	10	30	34	57	52	30	60	60	2
29	34	9	36	58	41	67	72	16	3
25	33	1	38	54	43	50	60	56	3
20	31	26	22	55	52	8	62	63	3
3	30	0	65	74	10	40	96	66	3
18	20	35	38	79	60	1	72	90	3
34	43	28	41	74	64	24	77	68	3
13	38	8	25	66	41	61	72	23	3
35	41	23	49	75	50	49	77	40	3
35	41	36	26	87	69	1	72	88	3
38	45	26	56	81	52	55	84	35	3
4	36	21	39	61	52	41	72	59	4
8	23	13	25	48	23	48	68	32	4
6	32	21	42	71	53	70	81	21	4
11	37	23	47	75	60	51	80	66	4
16	40	26	44	71	69	16	80	80	4
29	53	27	46	97	71	4	86	99	4
28	61	5	38	81	29	22	81	75	4
6	47	32	35	68	70	23	70	70	4
16	38	22	28	67	49	27	81	75	4
24	43	26	46	93	65	20	99	98	4
6	25	24	25	54	43	48	64	40	4
12	22	28	36	63	70	29	80	80	4
17	39	33	45	89	76	25	99	99	4
18	39	25	37	75	49	42	90	62	5
7	29	19	29	58	36	60	78	37	5
5	48	20	48	78	43	73	81	32	5
13	45	18	49	88	54	53	100	76	5
20	43	11	40	76	39	53	99	79	5
24	36	3	57	88	60	42	97	96	5
21	34	27	33	73	49	33	90	87	5
11	45	29	54	84	56	64	90	60	5
13	24	26	42	68	65	74	90	34	5
19	31	17	52	66	39	64	81	48	5
25	38	20	51	87	44	37	100	78	5
29	44	20	51	94	53	30	100	85	5
19	46	38	38	83	75	18	88	90	5
21	53	27	43	102	42	36	110	78	5
31	44	20	59	73	42	56	80	70	5
24	41	23	60	69	46	61	70	69	5
30	50	20	65	77	54	63	77	70	5
30	39	22	61	76	53	43	80	78	5
24	42	30	46	79	75	9	76	80	5
0	9	20	17	44	27	48	54	53	1
4	58	26	22	60	44	49	60	21	1
0	11	30	36	71	35	62	80	73	1
0	0	37	34	71	68	48	77	77	1
0	0	45	26	64	60	48	80	77	1
0	19	20	28	54	38	59	72	62	1
0	33	0	35	63	24	57	72	66	1
0	0	29	38	52	32	53	64	43	1
0	0	22	22	29	30	49	49	44	1
0	2	25	46	77	50	46	80	77	1
0	2	46	52	74	68	67	77	77	1
0	0	18	42	57	53	59	60	60	1
0	9	45	54	77	54	56	77	75	1
0	10	28	58	74	49	66	77	77	1
0	0	34	47	67	48	58	70	70	1
0	6	18	26	72	56	49	72	63	1
8	44	0	64	88	39	51	88	88	1
0	26	16	57	77	44	62	77	77	1
0	11	34	19	98	61	63	100	54	1
39	22	0	74	85	43	51	88	88	1
0	6	38	33	79	49	65	80	61	1
0	7	37	7	87	48	49	99	42	1
1	42	9	59	72	59	57	72	72	1
3	18	0	2	30	6	23	36	27	1
0	17	29	53	72	58	60	72	72	1
8	41	1	53	66	46	51	66	66	1
8	37	0	58	77	38	61	77	77	1
0	19	16	34	64	28	61	70	67	1
8	43	0	59	77	40	54	77	77	1
0	8	44	39	77	61	63	77	69	1
0	5	38	18	82	59	48	90	67	1
0	0	18	7	39	29	39	48	15	1
